,molecule_chembl_id,IC50,smiles,pIC50
37,CHEMBL471537,0.21,CC(C)[C@H](C(=O)NO)N(CC(=O)NCCc1ccc(S(N)(=O)=O)cc1)S(=O)(=O)c1ccc(Oc2ccccc2)cc1,9.67778070526608
38,CHEMBL1801417,0.21,CC(C)Oc1ccc(Oc2ccc(S(=O)(=O)C3(C(=O)NO)CCN(C4CC4)CC3)cc2)cc1,9.67778070526608
39,CHEMBL1916211,0.21,O=C1[C@H](N(CCN2CCCCC2)S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC=CCN1O,9.67778070526608
40,CHEMBL1801429,0.22,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CCNCC1,9.657577319177793
41,CHEMBL1916210,0.22,O=C1[C@H](N(CCN2CCOCC2)S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC=CCN1O,9.657577319177793
42,CHEMBL1801428,0.25,COCCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(SC(F)(F)F)cc3)cc2)CC1,9.602059991327963
43,CHEMBL1801054,0.25,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(SC(F)(F)F)cc3)cc2)CCOCC1,9.602059991327963
44,CHEMBL473539,0.26,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccccc3)cc2)[C@H]1C(=O)NO,9.585026652029182
45,CHEMBL307413,0.26,O=CN(O)C(CO)CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1,9.585026652029182
46,CHEMBL1801421,0.27,COCCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc4c(c3)OCO4)cc2)CC1,9.568636235841012
47,CHEMBL5280430,0.29,CCc1ccc(-c2cc(-c3ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc3)no2)s1,9.537602002101044
48,CHEMBL279078,0.3,CNC(=O)[C@H](Cc1cccc2c1CCCC2)NC(=O)[C@H](CC(C)C)[C@H](C)C(=O)NO,9.522878745280337
49,CHEMBL2425949,0.3,COc1ccc(S(=O)(=O)N(CCn2cc(CCCCOc3cccnc3F)nn2)[C@@H](C(=O)NO)C(C)C)cc1,9.522878745280337
50,CHEMBL1801420,0.3,C#CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc4c(c3)OCO4)cc2)CC1,9.522878745280337
51,CHEMBL16118,0.3,CCCCCCCC(C(=O)CS)C(=O)N[C@H](C(=O)NC)C(C)(C)C,9.522878745280337
52,CHEMBL309329,0.3,O=CN(O)C(COCCO)CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1,9.522878745280337
53,CHEMBL421029,0.3,COc1ccc(S(=O)(=O)N(CC(=O)NCc2c(OC)cc(OC)cc2OC)C(CCSCc2ccccc2)C(=O)NO)cc1,9.522878745280337
54,CHEMBL1801046,0.3,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1,9.522878745280337
55,CHEMBL75114,0.32,O=CN(O)C(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)C1CCCO1,9.494850021680094
