,molecule_chembl_id,IC50,smiles,pIC50,ROMol
376,CHEMBL329558,4.0,COc1ccc(S(=O)(=O)N2CCCN(C(=O)c3ccc(OC(F)(F)F)cc3)CC2C(=O)NO)cc1,8.397940008672037,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a3fd10>
377,CHEMBL307915,4.1,O=CN(O)C(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)c1ccccc1,8.387216143280265,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a3fd80>
379,CHEMBL7756,4.1,COc1ccc(S(=O)(=O)N2CCN(C(C)C)C(=O)C[C@@H]2C(=O)NO)cc1,8.387216143280265,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a3fdf0>
380,CHEMBL227484,4.1,Cc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(C)C)P(=O)(O)O)cc2)cc1,8.387216143280265,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a3fe60>
381,CHEMBL308264,4.1,CC1(C)NC(=O)N(CC(CS(=O)(=O)c2ccc(-c3ccc(C#N)cc3)cc2)N(O)C=O)C1=O,8.387216143280265,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a3fed0>
382,CHEMBL419430,4.1,COc1ccc(S(=O)(=O)N2CCN(C(=O)Nc3cccc(OC)c3)CC2C(=O)NO)cc1,8.387216143280265,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a3ff40>
383,CHEMBL346265,4.1,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2nnn(-c3ccc(Br)cc3)n2)cc1,8.387216143280265,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40040>
384,CHEMBL268377,4.2,COc1ccc(S(=O)(=O)N2CN(C(C)C)C(=O)C[C@@H]2C(=O)NO)cc1,8.3767507096021,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a400b0>
385,CHEMBL539930,4.2,O=c1c(N(CCN2CCOCC2)S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)cccn1O,8.3767507096021,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40120>
386,CHEMBL2336340,4.25,O=C(/C=C/c1ccc(O)cc1)Nc1ccc(O)cc1,8.371611069949688,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40190>
387,CHEMBL74670,4.3,CNC(=O)[C@H](NC(=O)[C@H](CC(C)C)[C@@H](CN1C(=O)c2ccccc2C1=O)C(=O)NO)C(C)(C)C,8.366531544420413,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40200>
388,CHEMBL316978,4.3,CC(C)CN(C(CCSCc1ccccc1)C(=O)NO)S(=O)(=O)c1ccc(Br)cc1,8.366531544420413,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40270>
389,CHEMBL1795862,4.3,CCCCc1ccc(C#Cc2ccc(S(=O)(=O)N3Cc4ccccc4C[C@@H]3C(=O)NO)s2)cc1,8.366531544420413,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a402e0>
390,CHEMBL2336343,4.32,COc1ccc(NC(=O)/C=C/c2ccc(O)cc2)cc1,8.364516253185087,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40350>
391,CHEMBL123320,4.4,COc1ccc(S(=O)(=O)N2CCN(C(=O)[C@@H](O)C(C)C)CC2C(=O)NO)cc1,8.356547323513812,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a403c0>
392,CHEMBL206944,4.4,COc1ccc(-c2ccc(S(=O)(=O)C(CCN3C(=O)c4ccccc4C3=O)C(=O)O)cc2)cc1,8.356547323513812,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40430>
393,CHEMBL323575,4.4,COc1ccc(CSCC2[C@H](C(=O)NO)N(S(=O)(=O)c3ccc(OC)cc3)CC2(C)C)cc1,8.356547323513812,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a404a0>
394,CHEMBL257673,4.4,Cc1ccc(Oc2ccc(S(=O)(=O)N(C)c3cccn(O)c3=O)cc2)cc1,8.356547323513812,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40510>
395,CHEMBL49413,4.4,CCc1ccc(C#Cc2ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)s2)cc1,8.356547323513812,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40580>
396,CHEMBL5281153,4.4,CCc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)s2)cc1,8.356547323513812,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a405f0>
397,CHEMBL2336346,4.41,Cc1ccc(NC(=O)/C=C/c2ccc(O)cc2)cc1,8.355561410532161,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40660>
398,CHEMBL4792262,4.49,O=C(Nc1ccc([N+](=O)[O-])cc1)C(c1ccccc1)N(C(=O)c1ccccc1I)c1ccccc1,8.347753658996677,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a406d0>
400,CHEMBL4862110,4.502,CCOC(=O)NNC(=O)Cn1c(=O)c(Cc2ccccc2)nc2ccccc21,8.3465945093355,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40740>
401,CHEMBL3585761,4.6,CC[C@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,8.337242168318426,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a407b0>
402,CHEMBL398331,4.7,CS(=O)(=O)N(C[C@H](O)C(=O)NO)c1ccc(Oc2ccc(Cl)cc2)cc1,8.327902142064282,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40820>
403,CHEMBL3932562,4.7,CC(C)[C@H](NS(=O)(=O)c1ccc(-c2cccc(CNC(=O)c3nc4ccccc4c(=O)[nH]3)c2)cc1)C(=O)NO,8.327902142064282,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40890>
404,CHEMBL118744,4.7,COc1ccc(S(=O)(=O)N2CC(O)CN(S(=O)(=O)c3ccc(OC)cc3)C2C(=O)NO)cc1,8.327902142064282,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40900>
406,CHEMBL311932,4.8,COc1ccc(S(=O)(=O)N(CC(=O)NO)CC(C)C)cc1,8.318758762624412,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40970>
407,CHEMBL328255,4.8,COc1ccc(S(=O)(=O)N2CCCN(C(=O)C(C)(C)C)CC2C(=O)NO)cc1,8.318758762624412,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a409e0>
408,CHEMBL430210,4.8,CC(=O)N1CCN([C@@H](CN(c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)S(C)(=O)=O)C(=O)NO)CC1,8.318758762624412,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40a50>
409,CHEMBL429431,4.8,O=C(CN(c1cccn(O)c1=O)S(=O)(=O)c1ccc(Oc2ccc(Cl)cc2)cc1)N1CCOCC1,8.318758762624412,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40ac0>
410,CHEMBL3585774,4.9,C=C(F)C[C@@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,8.309803919971486,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40b30>
411,CHEMBL402554,4.9,O=c1c(N(CCN2CCSCC2)S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)cccn1O,8.309803919971486,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40ba0>
412,CHEMBL77874,4.9,O=CN(O)C(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)C(CO)CO,8.309803919971486,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40c10>
413,CHEMBL446702,4.9,Cc1ccc(-c2ccc(S(=O)(=O)C(CCN3C(=O)c4ccccc4C3=O)C(=O)O)cc2)cc1,8.309803919971486,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40c80>
414,CHEMBL92512,5.0,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CSC)NC(=O)[C@@H](S)CCN1C(=O)CCC1=O,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40cf0>
416,CHEMBL70176,5.0,COc1ccc(S(=O)(=O)N(Cc2cccnc2)c2c(C)cccc2C(=O)NO)cc1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40d60>
417,CHEMBL34206,5.0,O=C(c1ccccc1)c1ccc(S(=O)(=O)CC(CCCc2ccccc2)C(=O)NO)cc1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40dd0>
418,CHEMBL281371,5.0,CNC(=O)[C@@H](NC(=O)[C@@H](CC(=O)NO)CC(C)C)C1CCCCC1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40e40>
419,CHEMBL78611,5.0,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCOc3ccccc3)CC2)cc1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40eb0>
420,CHEMBL71309,5.0,CCN(CC)Cc1cc(C)c(N(Cc2ccccc2)S(=O)(=O)c2ccc(OC)cc2)c(C(=O)NO)c1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40f20>
421,CHEMBL1801047,5.0,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)c(Cl)c3)cc2)CCOCC1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a40f90>
422,CHEMBL100280,5.0,COc1ccc(S(=O)(=O)N(C)c2c(CN3CCOCC3)cccc2C(=O)NO)cc1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41000>
425,CHEMBL1957603,5.0,O=C(NO)[C@@H]1CSCN1S(=O)(=O)c1ccc(Oc2ccc(F)cc2)cc1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41070>
427,CHEMBL5278204,5.0,COc1ccc(S(=O)(=O)N(C)c2c(CN3CCOCC3)cc(C)cc2C(=O)NO)cc1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a410e0>
428,CHEMBL312429,5.0,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc4ccccc4c3)CC2)cc1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41150>
429,CHEMBL100564,5.0,COC(=O)C1CCCN1Cc1cccc(C(=O)NO)c1N(C)S(=O)(=O)c1ccc(OC)cc1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a411c0>
430,CHEMBL155923,5.0,O=C(NO)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2ccccc2)cc1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41230>
431,CHEMBL38106,5.0,C=Cc1cccc2c(N(C)S(=O)(=O)c3ccc(OC)cc3)c(C(=O)NO)cnc12,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a412a0>
432,CHEMBL306617,5.0,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCOc3ccccc3)CC2)cc1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41310>
433,CHEMBL101121,5.0,O=C(NO)C(CCN1C(=O)c2ccccc2C1=O)COc1ccc(-c2ccccc2)cc1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41380>
434,CHEMBL257672,5.0,CN(c1cccn(O)c1=O)S(=O)(=O)c1ccc(Oc2ccccc2)cc1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a413f0>
435,CHEMBL338223,5.0,COc1ccc(S(=O)(=O)N2CCN(C(=O)N3CCN(C)CC3)CC2C(=O)NO)cc1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41460>
436,CHEMBL4871376,5.074,NC(=S)NNC(=O)Cn1c(=O)c(Cc2ccccc2)nc2ccccc21,8.294649537114289,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a414d0>
437,CHEMBL207026,5.1,CC(C)c1ccc(C#Cc2ccc(SC(CCN3C(=O)c4ccccc4C3=O)C(=O)O)cc2)cc1,8.292429823902063,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41540>
438,CHEMBL1229516,5.1,CNC(=O)[C@@H](NC(=O)[C@H](CCCc1ccccc1)[C@H](C)N(O)C=O)C(C)(C)C,8.292429823902063,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a415b0>
439,CHEMBL1812914,5.2,O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)(N2CCN(CC3CC3)CC2)C(=O)N1,8.2839966563652,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41620>
441,CHEMBL3889936,5.3,CC(C)C(CS(=O)(=O)c1ccc(-c2cccc(CNC(=O)c3nc4ccccc4c(=O)[nH]3)c2)cc1)N(O)C=O,8.275724130399212,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41700>
442,CHEMBL3754094,5.3,CC(C)CN([C@@H](C(=O)NO)C(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,8.275724130399212,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41770>
443,CHEMBL366111,5.3,O=C(NO)[C@@]1(O)COCC[C@H]1S(=O)(=O)c1ccc(OCc2ccc(Cl)cc2Cl)cc1,8.275724130399212,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a417e0>
444,CHEMBL82169,5.4,COc1ccc(-c2ccc(S(=O)(=O)NC(C(=O)O)C3CCN(C(=O)OC(C)(C)C)CC3)cc2)cc1,8.267606240177031,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41850>
445,CHEMBL252022,5.4,Cc1ccc(Oc2ccc(N(C[C@H](NC(=O)C(C)C)C(=O)NO)S(C)(=O)=O)cc2)cc1,8.267606240177031,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a418c0>
446,CHEMBL306301,5.5,CC1(C)OCC(C[C@@H](CS(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)O1,8.259637310505756,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41930>
447,CHEMBL3221179,5.5,CC1(C)OC[C@H](CC(CS(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)O1,8.259637310505756,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a419a0>
448,CHEMBL268114,5.5,COc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3cn(C)cn3)CC[C@@H]2C(=O)NO)cc1,8.259637310505756,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41a10>
449,CHEMBL401821,5.5,Cc1ccc(Oc2ccc(N(CC(C)(O)C(=O)NO)S(C)(=O)=O)cc2)cc1,8.259637310505756,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41a80>
451,CHEMBL5182668,5.54,O=C(NO)C(Cc1ccccc1)NS(=O)(=O)c1ccc(-c2cn(-c3ccc(-c4ccccc4)cc3)nn2)cc1,8.25649023527157,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41af0>
452,CHEMBL4780030,5.56,O=C(Nc1ccc([N+](=O)[O-])cc1)C(c1ccccc1)N(Cc1ccccc1)C(=O)Cc1ccccc1,8.254925208417943,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41b60>
454,CHEMBL4752635,5.7,COc1ccc(S(=O)(=O)N2C[C@H](NC(=O)[C@@H](N)CCCCN)C[C@@H]2C(=O)NO)cc1,8.244125144327509,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41c40>
455,CHEMBL2336365,5.71,O=C(/C=C/c1cccc(O)c1)Nc1ccccc1O,8.243363891754152,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41cb0>
456,CHEMBL2336780,5.82,COc1ccccc1NC(=O)/C=C/c1cccc(O)c1,8.235077015350111,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41d20>
457,CHEMBL2336338,5.82,O=C(/C=C/c1ccc(O)cc1)Nc1ccccc1O,8.235077015350111,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41d90>
458,CHEMBL1916051,5.9,O=C1[C@H](NS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCCCN1O,8.229147988357855,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41e00>
459,CHEMBL160153,5.9,CSc1ccc(-n2nnc(-c3ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc3)n2)cc1,8.229147988357855,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41e70>
460,CHEMBL2336341,5.91,COc1ccccc1NC(=O)/C=C/c1ccc(O)cc1,8.228412519118745,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41ee0>
461,CHEMBL2336783,5.91,Cc1ccccc1NC(=O)/C=C/c1cccc(O)c1,8.228412519118745,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a41f50>
463,CHEMBL2336344,5.97,Cc1ccccc1NC(=O)/C=C/c1ccc(O)cc1,8.224025668870631,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42030>
464,CHEMBL80798,6.0,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(-c4ccccn4)cc3)CC2)cc1,8.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a420a0>
465,CHEMBL195743,6.0,COc1ccc(Oc2ccc(C3(N4CCN(CCO)CC4)C(=O)NC(=O)NC3=O)cc2)cc1,8.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42110>
466,CHEMBL36999,6.0,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(C(=O)NO)cnc3c(C(C)C)cccc23)cc1,8.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42180>
467,CHEMBL312432,6.0,Cc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OCc4ccc(Cl)cc4)cc3)CC2)cc1,8.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a421f0>
468,CHEMBL221717,6.0,C#CCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Br)cc3)CC2)cc1,8.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42260>
470,CHEMBL123499,6.0,CCCCCCN(C)C(=O)N1CCN(S(=O)(=O)c2ccc(OC)cc2)C(C(=O)NO)C1,8.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a422d0>
473,CHEMBL78962,6.0,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1,8.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a423b0>
474,CHEMBL76974,6.0,COC(=O)c1cccc(C(=O)NO)c1N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,8.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42420>
475,CHEMBL418725,6.0,CNC(=O)[C@@H](NC(=O)C(CC(C)C)C(=O)CS)C(C)(C)C,8.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42490>
476,CHEMBL33980,6.0,COc1ccc(S(=O)(=O)N(Cc2cccnc2)c2c(C(=O)NO)cnc3c2cnn3-c2ccccc2)cc1,8.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42500>
478,CHEMBL229844,6.19,O=C(/C=C/c1ccccc1)Nc1ccc(O)cc1,8.208309350979881,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42570>
479,CHEMBL2063518,6.2,O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)(N2CCCC(CO)C2)C(=O)N1,8.207608310501746,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a425e0>
480,CHEMBL75618,6.2,CCCCOc1ccc(-c2ccc(S(=O)(=O)CC(CN3C(=O)NC(C)(C)C3=O)N(O)C=O)cc2)cc1,8.207608310501746,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42650>
481,CHEMBL2336357,6.21,COc1ccc(NC(=O)/C=C/c2ccccc2)cc1,8.20690839982342,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a426c0>
482,CHEMBL2336359,6.38,Cc1ccc(NC(=O)/C=C/c2ccccc2)cc1,8.195179321278838,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42730>
483,CHEMBL3585770,6.4,C=CC[C@@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,8.193820026016112,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a427a0>
484,CHEMBL3617403,6.4,CC(C)ON([C@H](CCNC(=O)Cc1ccccc1)C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,8.193820026016112,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42810>
485,CHEMBL3617402,6.5,CC(=O)NCC[C@H](C(=O)NO)N(OC(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,8.187086643357144,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42880>
486,CHEMBL126388,6.6,COc1ccc(S(=O)(=O)N2CCN(/C(S)=N/Cc3ccccc3)CC2C(=O)NO)cc1,8.18045606445813,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a428f0>
487,CHEMBL404882,6.6,Cc1ccc(Oc2ccc(N(CCC(=O)NO)S(C)(=O)=O)cc2)cc1,8.18045606445813,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42960>
488,CHEMBL253680,6.6,COc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(=O)O)C3CCN(C(=O)OC(C)(C)C)CC3)cc2)cc1,8.18045606445813,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a429d0>
489,CHEMBL179288,6.7,CC(C)ON([C@@H](C(=O)NO)C(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,8.173925197299173,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42a40>
490,CHEMBL350789,6.7,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCc1ccc(S(N)(=O)=O)cc1,8.173925197299173,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42ab0>
491,CHEMBL7390,6.8,COc1ccc(S(=O)(=O)N2CN(Cc3ccccc3)C(=O)C[C@@H]2C(=O)NO)cc1,8.167491087293763,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42b20>
492,CHEMBL437017,6.8,COc1ccc(S(=O)(=O)N2CN(Cc3ccccc3)C(=O)CC2C(=O)NO)cc1,8.167491087293763,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42b90>
493,CHEMBL124680,6.9,COc1ccc(S(=O)(=O)N2CCNCC2C(=O)NO)cc1,8.161150909262744,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42c00>
495,CHEMBL45357,7.0,CC[C@@H](C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(OC)cc1,8.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42c70>
496,CHEMBL68212,7.0,Cc1cccc(C(=O)NO)c1N(C)S(=O)(=O)c1ccc(Oc2ccncc2)cc1,8.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42ce0>
498,CHEMBL68271,7.0,COc1ccc(S(=O)(=O)N(Cc2cccnc2)c2c(C(=O)NO)cc(C)cc2-c2ccccc2)cc1,8.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42d50>
499,CHEMBL2425942,7.0,CC(C)[C@H](C(=O)NO)N(Cc1cn(CCF)nn1)S(=O)(=O)c1ccc(OCCF)cc1,8.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42dc0>
500,CHEMBL2385441,7.0,O=C(Nc1ccc(S(=O)(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)O)cc1)c1ccc(F)cc1,8.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42e30>
501,CHEMBL35606,7.0,CCCCOc1ccc(S(=O)(=O)N(C)c2c(C(=O)NO)cnc3c2c(C)nn3C)cc1,8.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42ea0>
502,CHEMBL100081,7.0,COc1ccc(S(=O)(=O)N(Cc2ccc(OCCN3CCCCC3)cc2)c2c(C)cccc2C(=O)NO)cc1,8.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42f10>
503,CHEMBL306577,7.0,COc1ccc(S(=O)(=O)C(C)(Cc2ccc(OCCCN3CCN(c4cccc(Cl)c4)CC3)cc2)C(=O)NO)cc1,8.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42f80>
504,CHEMBL1946141,7.0,O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)(N2CCN(CC[18F])CC2)C(=O)N1,8.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a42ff0>
506,CHEMBL392571,7.0,CC(C)[C@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc(OCCF)cc1,8.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a430d0>
507,CHEMBL105142,7.0,CCC(C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(OC)cc1,8.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a43140>
509,CHEMBL101210,7.0,COc1ccc(S(=O)(=O)N(C)c2c(CN3CCN(C(=O)OC(C)(C)C)CC3)cc(Br)cc2C(=O)NO)cc1,8.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a43220>
510,CHEMBL400193,7.1,Cc1ccc(Oc2ccc(N(C[C@H](NCc3ccccc3)C(=O)NO)S(C)(=O)=O)cc2)cc1,8.148741651280925,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a43290>
512,CHEMBL2336353,7.18,O=C(/C=C/c1ccccc1)Nc1ccccc1O,8.143875555757699,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a43370>
513,CHEMBL311141,7.2,CN(C)S(=O)(=O)CC(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)N(O)C=O,8.142667503568731,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a433e0>
514,CHEMBL1090284,7.2,COc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](C(=O)NO)C(C)C)cc1,8.142667503568731,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a43450>
517,CHEMBL2336355,7.29,COc1ccccc1NC(=O)/C=C/c1ccccc1,8.137272471682024,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a435a0>
519,CHEMBL47971,7.3,CCc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)s2)cc1,8.136677139879545,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a43680>
520,CHEMBL311004,7.3,COCCOC(=O)N1CCC(C(NS(=O)(=O)c2ccc(-c3ccc(SC)cc3)cc2)C(=O)O)CC1,8.136677139879545,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a436f0>
521,CHEMBL271867,7.3,COc1ccc(Oc2ccc(S(=O)(=O)Cc3cccn(O)c3=O)cc2)cc1,8.136677139879545,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a43760>
522,CHEMBL2336358,7.38,Cc1ccccc1NC(=O)/C=C/c1ccccc1,8.131943638176958,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a437d0>
