,molecule_chembl_id,IC50,smiles,pIC50,molecular_weight,heavy_atoms,rotatable_bonds,n_hba,n_hbd,logp,reos_fulfilled
392,CHEMBL206944,4.4,COc1ccc(-c2ccc(S(=O)(=O)C(CCN3C(=O)c4ccccc4C3=O)C(=O)O)cc2)cc1,8.356547323513812,479.10387301199995,34,8,6,1,3.275400000000001,True
393,CHEMBL323575,4.4,COc1ccc(CSCC2[C@H](C(=O)NO)N(S(=O)(=O)c3ccc(OC)cc3)CC2(C)C)cc1,8.356547323513812,494.1545286799999,33,9,7,2,3.1579000000000006,True
394,CHEMBL257673,4.4,Cc1ccc(Oc2ccc(S(=O)(=O)N(C)c3cccn(O)c3=O)cc2)cc1,8.356547323513812,386.09364267599994,27,5,6,1,3.011420000000001,True
395,CHEMBL49413,4.4,CCc1ccc(C#Cc2ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)s2)cc1,8.356547323513812,391.09120015199994,26,6,4,2,3.097800000000002,True
396,CHEMBL5281153,4.4,CCc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)s2)cc1,8.356547323513812,391.09120015199994,26,6,4,2,3.097800000000002,True
397,CHEMBL2336346,4.41,Cc1ccc(NC(=O)/C=C/c2ccc(O)cc2)cc1,8.355561410532161,253.11027872,19,3,2,2,3.352520000000001,True
398,CHEMBL4792262,4.49,O=C(Nc1ccc([N+](=O)[O-])cc1)C(c1ccccc1)N(C(=O)c1ccccc1I)c1ccccc1,8.347753658996677,577.04985412,35,7,4,1,6.226200000000004,True
400,CHEMBL4862110,4.502,CCOC(=O)NNC(=O)Cn1c(=O)c(Cc2ccccc2)nc2ccccc21,8.3465945093355,380.14845512000005,28,5,6,2,1.7645999999999997,True
401,CHEMBL3585761,4.6,CC[C@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,8.337242168318426,379.120191772,26,8,6,2,1.5650999999999993,True
402,CHEMBL398331,4.7,CS(=O)(=O)N(C[C@H](O)C(=O)NO)c1ccc(Oc2ccc(Cl)cc2)cc1,8.327902142064282,400.04958494400006,26,7,6,3,1.7645999999999997,True
403,CHEMBL3932562,4.7,CC(C)[C@H](NS(=O)(=O)c1ccc(-c2cccc(CNC(=O)c3nc4ccccc4c(=O)[nH]3)c2)cc1)C(=O)NO,8.327902142064282,549.168204584,39,9,7,5,2.3284,True
404,CHEMBL118744,4.7,COc1ccc(S(=O)(=O)N2CC(O)CN(S(=O)(=O)c3ccc(OC)cc3)C2C(=O)NO)cc1,8.327902142064282,501.0875713159999,33,7,9,3,-0.4085999999999985,True
406,CHEMBL311932,4.8,COc1ccc(S(=O)(=O)N(CC(=O)NO)CC(C)C)cc1,8.318758762624412,316.10929274,21,7,5,2,0.8472999999999993,True
407,CHEMBL328255,4.8,COc1ccc(S(=O)(=O)N2CCCN(C(=O)C(C)(C)C)CC2C(=O)NO)cc1,8.318758762624412,413.16205658399997,28,4,6,2,0.8383000000000013,True
408,CHEMBL430210,4.8,CC(=O)N1CCN([C@@H](CN(c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)S(C)(=O)=O)C(=O)NO)CC1,8.318758762624412,544.1603402439999,37,8,7,2,2.3018,True
409,CHEMBL429431,4.8,O=C(CN(c1cccn(O)c1=O)S(=O)(=O)c1ccc(Oc2ccc(Cl)cc2)cc1)N1CCOCC1,8.318758762624412,519.086698724,35,7,8,1,2.585400000000001,True
410,CHEMBL3585774,4.9,C=C(F)C[C@@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,8.309803919971486,409.1107699599999,28,9,6,2,2.0284,True
411,CHEMBL402554,4.9,O=c1c(N(CCN2CCSCC2)S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)cccn1O,8.309803919971486,521.0845905479999,34,8,8,1,3.775400000000002,True
412,CHEMBL77874,4.9,O=CN(O)C(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)C(CO)CO,8.309803919971486,479.08617225999996,32,11,8,3,1.9682,True
413,CHEMBL446702,4.9,Cc1ccc(-c2ccc(S(=O)(=O)C(CCN3C(=O)c4ccccc4C3=O)C(=O)O)cc2)cc1,8.309803919971486,463.1089583919999,33,7,5,1,3.5752200000000025,True
414,CHEMBL92512,5.0,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CSC)NC(=O)[C@@H](S)CCN1C(=O)CCC1=O,8.301029995663981,494.16576206,33,12,7,4,0.14520000000000022,True
416,CHEMBL70176,5.0,COc1ccc(S(=O)(=O)N(Cc2cccnc2)c2c(C)cccc2C(=O)NO)cc1,8.301029995663981,427.120191772,30,7,6,2,2.91312,True
417,CHEMBL34206,5.0,O=C(c1ccccc1)c1ccc(S(=O)(=O)CC(CCCc2ccccc2)C(=O)NO)cc1,8.301029995663981,451.1453439,32,10,5,2,3.8358000000000017,True
418,CHEMBL281371,5.0,CNC(=O)[C@@H](NC(=O)[C@@H](CC(=O)NO)CC(C)C)C1CCCCC1,8.301029995663981,341.23145647200005,24,8,4,4,1.355299999999999,True
419,CHEMBL78611,5.0,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCOc3ccccc3)CC2)cc1,8.301029995663981,490.213757808,34,12,7,2,3.4483000000000024,True
420,CHEMBL71309,5.0,CCN(CC)Cc1cc(C)c(N(Cc2ccccc2)S(=O)(=O)c2ccc(OC)cc2)c(C(=O)NO)c1,8.301029995663981,511.2140921559999,36,11,6,2,4.359920000000003,True
421,CHEMBL1801047,5.0,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)c(Cl)c3)cc2)CCOCC1,8.301029995663981,445.015363624,28,5,6,2,3.6140000000000017,True
422,CHEMBL100280,5.0,COc1ccc(S(=O)(=O)N(C)c2c(CN3CCOCC3)cccc2C(=O)NO)cc1,8.301029995663981,435.14640651999997,30,7,7,2,1.4714999999999991,True
425,CHEMBL1957603,5.0,O=C(NO)[C@@H]1CSCN1S(=O)(=O)c1ccc(Oc2ccc(F)cc2)cc1,8.301029995663981,398.0406418,26,5,6,2,2.1870000000000003,True
427,CHEMBL5278204,5.0,COc1ccc(S(=O)(=O)N(C)c2c(CN3CCOCC3)cc(C)cc2C(=O)NO)cc1,8.301029995663981,449.16205658399997,31,7,7,2,1.7799199999999995,True
428,CHEMBL312429,5.0,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc4ccccc4c3)CC2)cc1,8.301029995663981,454.156242932,32,6,6,2,3.162300000000001,True
429,CHEMBL100564,5.0,COC(=O)C1CCCN1Cc1cccc(C(=O)NO)c1N(C)S(=O)(=O)c1ccc(OC)cc1,8.301029995663981,477.156971204,33,8,8,2,1.7767000000000004,True
430,CHEMBL155923,5.0,O=C(NO)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2ccccc2)cc1,8.301029995663981,435.125277152,31,7,4,4,3.2299000000000007,True
431,CHEMBL38106,5.0,C=Cc1cccc2c(N(C)S(=O)(=O)c3ccc(OC)cc3)c(C(=O)NO)cnc12,8.301029995663981,413.104541708,29,6,6,2,2.8305000000000007,True
432,CHEMBL306617,5.0,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCOc3ccccc3)CC2)cc1,8.301029995663981,476.198107744,33,11,7,2,3.058200000000001,True
